,Id,Student_id,Professor_id,Area,Title
294,295,6541,142,Security,Security 90
295,296,484,16,Containers,Containers 68
296,297,1225,120,Artifficial Intelligence,Artifficial Intelligence 74
297,298,4663,94,Semantic Web,Semantic Web 40
298,299,5701,116,Semantic Web,Semantic Web 62
299,300,3284,101,NLP,NLP 15
300,301,2938,6,Algorithms Analysis,Algorithms Analysis 84
301,302,8900,128,Semantic Web,Semantic Web 66
302,303,3605,37,CPU Analysis,CPU Analysis 21
303,304,1331,136,Memory Analysis,Memory Analysis 60
304,305,8422,165,Grid Computing,Grid Computing 51
305,306,5195,45,Operating Systems,Operating Systems 58
306,307,5338,174,Autonomus Multi-Robot,Autonomus Multi-Robot 20
307,308,8606,199,Animation,Animation 32
308,309,7644,37,Memory Analysis,Memory Analysis 58
309,310,3587,135,Security,Security 56
310,311,4118,147,Machine Learning,Machine Learning 81
311,312,3476,93,Autonomous Robotics,Autonomous Robotics 65
312,313,6926,159,Memory Analysis,Memory Analysis 80
313,314,7984,60,Autonomous Robotics,Autonomous Robotics 28
314,315,6172,64,Autonomous Robotics,Autonomous Robotics 14
315,316,2758,171,Autonomus Multi-Robot,Autonomus Multi-Robot 1
316,317,6667,131,Autonomus Multi-Robot,Autonomus Multi-Robot 39
317,318,6171,44,Animation,Animation 57
318,319,9508,131,Autonomous Robotics,Autonomous Robotics 69
319,320,5049,187,Autonomus Multi-Robot,Autonomus Multi-Robot 41
320,321,6743,157,Human Computer Interaction,Human Computer Interaction 89
321,322,7306,198,Semantic Web,Semantic Web 7
322,323,3063,180,Autonomus Multi-Robot,Autonomus Multi-Robot 77
323,324,9159,76,Machine Learning,Machine Learning 96
324,325,8364,101,Semantic Web,Semantic Web 43
325,326,3660,163,Cluster Computing,Cluster Computing 21
326,327,6649,10,Memory Analysis,Memory Analysis 70
327,328,3186,154,Semantic Web,Semantic Web 75
328,329,8024,164,Artifficial Intelligence,Artifficial Intelligence 50
329,330,1539,179,NLP,NLP 68
330,331,3963,81,Grid Computing,Grid Computing 3
331,332,361,121,Artifficial Intelligence,Artifficial Intelligence 70
332,333,4585,187,Autonomus Multi-Robot,Autonomus Multi-Robot 73
333,334,244,36,Autonomus Multi-Robot,Autonomus Multi-Robot 11
334,335,9397,58,Cluster Computing,Cluster Computing 57
335,336,7350,131,Autonomous Robotics,Autonomous Robotics 62
336,337,5230,85,Autonomous Robotics,Autonomous Robotics 84
337,338,8817,198,NLP,NLP 83
338,339,6114,135,Operating Systems,Operating Systems 72
339,340,7760,121,Algorithms Analysis,Algorithms Analysis 25
340,341,7309,78,Autonomous Robotics,Autonomous Robotics 30
341,342,7665,116,NLP,NLP 97
342,343,7432,176,Animation,Animation 79
343,344,6529,131,Autonomus Multi-Robot,Autonomus Multi-Robot 17
344,345,6710,179,Semantic Web,Semantic Web 26
345,346,4671,92,Autonomous Robotics,Autonomous Robotics 75
346,347,5412,154,Semantic Web,Semantic Web 97
347,348,5293,158,Animation,Animation 94
348,349,3651,157,Semantic Web,Semantic Web 63
349,350,2283,133,NLP,NLP 9
350,351,3154,138,Machine Learning,Machine Learning 73
351,352,8426,179,NLP,NLP 11
352,353,8276,120,Machine Learning,Machine Learning 89
353,354,2443,27,Autonomus Multi-Robot,Autonomus Multi-Robot 58
354,355,3116,48,Animation,Animation 60
355,356,2827,94,Semantic Web,Semantic Web 45
356,357,3302,129,Cluster Computing,Cluster Computing 60
357,358,742,159,CPU Analysis,CPU Analysis 89
358,359,7806,33,Compilers,Compilers 30
359,360,5953,102,CPU Analysis,CPU Analysis 46
360,361,9730,198,Semantic Web,Semantic Web 53
361,362,9413,185,Animation,Animation 89
362,363,5332,22,Human Computer Interaction,Human Computer Interaction 75
363,364,4740,22,NLP,NLP 94
364,365,8384,104,Semantic Web,Semantic Web 54
365,366,2078,17,Cluster Computing,Cluster Computing 94
366,367,938,1,Compilers,Compilers 87
367,368,8529,110,Machine Learning,Machine Learning 27
368,369,6859,5,Artifficial Intelligence,Artifficial Intelligence 36
369,370,3188,77,Autonomous Robotics,Autonomous Robotics 66
370,371,8789,84,Memory Analysis,Memory Analysis 73
371,372,8795,94,Human Computer Interaction,Human Computer Interaction 74
372,373,2892,149,Autonomous Robotics,Autonomous Robotics 100
373,374,2260,52,Human Computer Interaction,Human Computer Interaction 39
374,375,781,52,Human Computer Interaction,Human Computer Interaction 10
375,376,4410,9,Memory Analysis,Memory Analysis 30
376,377,2276,160,Compilers,Compilers 50
377,378,3922,63,Modelling,Modelling 19
378,379,8602,80,Machine Learning,Machine Learning 1
379,380,8486,164,Machine Learning,Machine Learning 55
380,381,5278,135,Operating Systems,Operating Systems 64
381,382,599,147,Machine Learning,Machine Learning 91
382,383,5990,111,Memory Analysis,Memory Analysis 64
383,384,178,137,Autonomus Multi-Robot,Autonomus Multi-Robot 80
384,385,4232,199,Unity Games,Unity Games 82
385,386,6638,123,Human Computer Interaction,Human Computer Interaction 23
386,387,8651,58,Containers,Containers 22
387,388,8768,157,Human Computer Interaction,Human Computer Interaction 33
388,389,3310,99,Autonomus Multi-Robot,Autonomus Multi-Robot 10
389,390,4325,12,Unity Games,Unity Games 96
390,391,1664,86,CPU Analysis,CPU Analysis 88
391,392,4376,150,Human Computer Interaction,Human Computer Interaction 79
392,393,689,27,Autonomus Multi-Robot,Autonomus Multi-Robot 35
393,394,2732,104,Semantic Web,Semantic Web 45
394,395,570,168,Security,Security 74
395,396,600,51,Animation,Animation 53
396,397,8121,73,Algorithms Analysis,Algorithms Analysis 56
397,398,4438,126,Memory Analysis,Memory Analysis 60
398,399,1529,80,Machine Learning,Machine Learning 17
399,400,5211,175,Algorithms Analysis,Algorithms Analysis 100
400,401,647,14,Compilers,Compilers 41
401,402,9422,66,Autonomus Multi-Robot,Autonomus Multi-Robot 22
402,403,9096,70,Cluster Computing,Cluster Computing 64
403,404,307,40,Human Computer Interaction,Human Computer Interaction 49
404,405,2455,146,Security,Security 37
405,406,5848,116,Semantic Web,Semantic Web 78
406,407,4575,49,Unity Games,Unity Games 96
407,408,6333,153,Algorithms Analysis,Algorithms Analysis 29
408,409,637,168,Operating Systems,Operating Systems 10
409,410,5375,178,Autonomus Multi-Robot,Autonomus Multi-Robot 60
410,411,9686,5,Machine Learning,Machine Learning 63
411,412,1787,187,Autonomous Robotics,Autonomous Robotics 88
412,413,8944,87,NLP,NLP 32
413,414,5163,17,Grid Computing,Grid Computing 55
414,415,2871,174,Autonomous Robotics,Autonomous Robotics 12
415,416,1906,91,NLP,NLP 87
416,417,4011,157,NLP,NLP 98
417,418,6849,33,Compilers,Compilers 46
418,419,8472,34,Algorithms Analysis,Algorithms Analysis 27
419,420,9268,54,Autonomous Robotics,Autonomous Robotics 74
420,421,8793,97,Modelling,Modelling 56
421,422,9586,184,Big Data,Big Data 91
422,423,3397,64,Autonomous Robotics,Autonomous Robotics 95
423,424,9089,97,Modelling,Modelling 29
424,425,8809,108,Containers,Containers 3
425,426,5533,101,Semantic Web,Semantic Web 29
426,427,5200,154,Human Computer Interaction,Human Computer Interaction 74
427,428,6778,59,Artifficial Intelligence,Artifficial Intelligence 91
428,429,2826,114,Big Data,Big Data 58
429,430,9283,70,Containers,Containers 2
430,431,7514,59,Machine Learning,Machine Learning 58
431,432,6855,114,Big Data,Big Data 35
432,433,4132,51,Animation,Animation 64
433,434,1874,162,Operating Systems,Operating Systems 44
434,435,2029,151,NLP,NLP 12
435,436,4425,181,Memory Analysis,Memory Analysis 19
436,437,5550,184,Big Data,Big Data 63
437,438,8402,21,Semantic Web,Semantic Web 83
438,439,9510,8,Algorithms Analysis,Algorithms Analysis 75
439,440,9081,27,Autonomus Multi-Robot,Autonomus Multi-Robot 60
440,441,4969,24,Containers,Containers 76
441,442,2812,88,Human Computer Interaction,Human Computer Interaction 47
442,443,3468,44,Modelling,Modelling 83
443,444,9645,13,Drivers,Drivers 25
444,445,5073,146,Compilers,Compilers 85
445,446,3201,58,Cluster Computing,Cluster Computing 68
446,447,3402,95,Algorithms Analysis,Algorithms Analysis 61
447,448,8211,55,Semantic Web,Semantic Web 70
448,449,5968,74,Algorithms Analysis,Algorithms Analysis 22
449,450,5962,4,Operating Systems,Operating Systems 94
450,451,5325,63,Unity Games,Unity Games 29
451,452,916,15,Unity Games,Unity Games 31
452,453,9056,10,Memory Analysis,Memory Analysis 83
453,454,9757,112,Autonomous Robotics,Autonomous Robotics 2
454,455,8873,76,Machine Learning,Machine Learning 84
455,456,2463,26,CPU Analysis,CPU Analysis 6
456,457,8299,169,Autonomus Multi-Robot,Autonomus Multi-Robot 1
457,458,3014,80,Machine Learning,Machine Learning 2
458,459,1810,127,Drivers,Drivers 30
459,460,3489,17,Grid Computing,Grid Computing 28
460,461,601,46,Memory Analysis,Memory Analysis 96
461,462,2786,100,Memory Analysis,Memory Analysis 54
462,463,4651,154,NLP,NLP 50
463,464,3211,119,NLP,NLP 78
464,465,7104,184,Containers,Containers 20
465,466,829,49,Modelling,Modelling 50
466,467,251,102,CPU Analysis,CPU Analysis 24
467,468,6634,172,Artifficial Intelligence,Artifficial Intelligence 51
468,469,7033,22,Human Computer Interaction,Human Computer Interaction 78
469,470,6927,84,CPU Analysis,CPU Analysis 72
470,471,3246,89,Unity Games,Unity Games 62
471,472,1544,39,Operating Systems,Operating Systems 92
472,473,6480,195,CPU Analysis,CPU Analysis 15
473,474,6575,128,NLP,NLP 67
474,475,5013,104,NLP,NLP 62
475,476,6533,81,Cluster Computing,Cluster Computing 64
476,477,3604,108,Big Data,Big Data 10
477,478,9181,134,CPU Analysis,CPU Analysis 27
478,479,3608,70,Big Data,Big Data 47
479,480,865,174,Autonomus Multi-Robot,Autonomus Multi-Robot 4
480,481,8527,103,NLP,NLP 42
481,482,2080,44,Unity Games,Unity Games 87
482,483,3280,73,Algorithms Analysis,Algorithms Analysis 68
483,484,4349,106,Modelling,Modelling 20
484,485,7689,156,NLP,NLP 95
485,486,1050,52,Semantic Web,Semantic Web 98
486,487,4716,114,Containers,Containers 16
487,488,2927,92,Autonomus Multi-Robot,Autonomus Multi-Robot 86
488,489,2115,16,Grid Computing,Grid Computing 5
489,490,7648,60,Autonomus Multi-Robot,Autonomus Multi-Robot 88
490,491,3613,5,Algorithms Analysis,Algorithms Analysis 73
491,492,5497,115,Modelling,Modelling 15
492,493,3254,76,Machine Learning,Machine Learning 82
493,494,5730,128,Semantic Web,Semantic Web 27
494,495,4068,13,Drivers,Drivers 33
495,496,4790,26,CPU Analysis,CPU Analysis 68
496,497,241,198,Human Computer Interaction,Human Computer Interaction 82
497,498,4560,2,Artifficial Intelligence,Artifficial Intelligence 4
498,499,8131,155,Human Computer Interaction,Human Computer Interaction 58
499,500,7981,56,Autonomus Multi-Robot,Autonomus Multi-Robot 64
500,501,7555,67,NLP,NLP 77
501,502,7476,74,Machine Learning,Machine Learning 59
502,503,3329,159,Memory Analysis,Memory Analysis 38
503,504,5508,181,Memory Analysis,Memory Analysis 1
504,505,2560,152,Semantic Web,Semantic Web 86
505,506,3044,109,Machine Learning,Machine Learning 1
506,507,1070,126,Memory Analysis,Memory Analysis 25
507,508,5169,104,NLP,NLP 30
508,509,8851,192,Memory Analysis,Memory Analysis 98
509,510,1374,49,Modelling,Modelling 26
510,511,1122,167,Autonomus Multi-Robot,Autonomus Multi-Robot 49
511,512,9606,101,Semantic Web,Semantic Web 48
512,513,2716,7,Containers,Containers 55
513,514,534,187,Autonomus Multi-Robot,Autonomus Multi-Robot 35
514,515,6629,181,Memory Analysis,Memory Analysis 44
515,516,6371,67,Human Computer Interaction,Human Computer Interaction 82
516,517,6100,98,Human Computer Interaction,Human Computer Interaction 1
517,518,6030,124,Autonomous Robotics,Autonomous Robotics 7
518,519,3485,102,Memory Analysis,Memory Analysis 44
519,520,6992,20,Unity Games,Unity Games 69
520,521,9796,53,Containers,Containers 5
521,522,6884,1,Security,Security 92
522,523,4320,23,Operating Systems,Operating Systems 18
523,524,4941,168,Compilers,Compilers 95
524,525,3093,122,Artifficial Intelligence,Artifficial Intelligence 14
525,526,5319,52,Human Computer Interaction,Human Computer Interaction 57
526,527,5952,67,Semantic Web,Semantic Web 1
527,528,8369,22,NLP,NLP 25
528,529,8392,127,Security,Security 55
529,530,5736,194,Containers,Containers 90
530,531,5558,26,Memory Analysis,Memory Analysis 91
531,532,9589,129,Big Data,Big Data 97
532,533,4628,181,CPU Analysis,CPU Analysis 87
